date,open,high,low,close,volume,scrip_name
2017-05-15T09:15:00+0530,983.0,988.85,974.55,978.7,155962,HINDUNILVR
2017-05-15T10:15:00+0530,978.7,981.0,975.55,976.55,89217,HINDUNILVR
2017-05-15T11:15:00+0530,976.55,980.5,975.1,975.85,64972,HINDUNILVR
2017-05-15T12:15:00+0530,975.85,984.5,975.1,982.05,140652,HINDUNILVR
2017-05-15T13:15:00+0530,982.05,984.45,978.2,981.0,78887,HINDUNILVR
2017-05-15T14:15:00+0530,981.0,985.0,979.0,982.35,148611,HINDUNILVR
2017-05-15T15:15:00+0530,982.45,984.4,982.3,982.5,55284,HINDUNILVR
2017-05-16T09:15:00+0530,982.9,996.0,982.05,985.8,276773,HINDUNILVR
2017-05-16T10:15:00+0530,985.5,989.2,984.3,985.7,51593,HINDUNILVR
2017-05-16T11:15:00+0530,985.7,990.35,983.2,989.2,201545,HINDUNILVR
2017-05-16T12:15:00+0530,989.2,992.5,988.05,991.1,109768,HINDUNILVR
2017-05-16T13:15:00+0530,991.1,998.5,989.5,995.6,372763,HINDUNILVR
2017-05-16T14:15:00+0530,995.6,1002.5,994.65,999.8,318301,HINDUNILVR
2017-05-16T15:15:00+0530,1000.25,1001.9,998.0,999.5,171948,HINDUNILVR
2017-05-17T09:15:00+0530,1002.95,1003.65,991.1,997.5,205310,HINDUNILVR
2017-05-17T10:15:00+0530,997.5,1005.8,994.5,1001.55,420863,HINDUNILVR
2017-05-17T11:15:00+0530,1001.55,1004.65,995.05,1003.7,204817,HINDUNILVR
2017-05-17T12:15:00+0530,1003.8,1004.0,1000.0,1001.9,148697,HINDUNILVR
2017-05-17T13:15:00+0530,1002.05,1012.0,1001.05,1005.5,422875,HINDUNILVR
2017-05-17T14:15:00+0530,1005.45,1011.0,1003.1,1008.45,388461,HINDUNILVR
2017-05-17T15:15:00+0530,1008.5,1012.0,1007.4,1009.0,203996,HINDUNILVR
2017-05-18T09:15:00+0530,1005.0,1008.4,992.65,1003.75,1198282,HINDUNILVR
2017-05-18T10:15:00+0530,1003.75,1003.75,994.15,997.2,281461,HINDUNILVR
2017-05-18T11:15:00+0530,997.2,998.0,986.2,993.7,348807,HINDUNILVR
2017-05-18T12:15:00+0530,993.7,996.15,990.55,991.85,120033,HINDUNILVR
2017-05-18T13:15:00+0530,992.05,994.0,991.25,993.6,129681,HINDUNILVR
2017-05-18T14:15:00+0530,993.6,997.6,988.5,990.45,427376,HINDUNILVR
2017-05-18T15:15:00+0530,991.05,991.5,983.05,987.5,150436,HINDUNILVR
2017-05-19T09:15:00+0530,1001.05,1022.65,1000.25,1011.7,951643,HINDUNILVR
2017-05-19T10:15:00+0530,1011.7,1012.8,1005.0,1009.0,257096,HINDUNILVR
2017-05-19T11:15:00+0530,1009.0,1013.0,1002.8,1005.3,677855,HINDUNILVR
2017-05-19T12:15:00+0530,1005.3,1010.0,1003.55,1008.85,234252,HINDUNILVR
2017-05-19T13:15:00+0530,1008.85,1014.6,1005.25,1012.05,306478,HINDUNILVR
2017-05-19T14:15:00+0530,1012.05,1014.0,1007.1,1008.0,380317,HINDUNILVR
2017-05-19T15:15:00+0530,1008.25,1009.0,1004.1,1004.1,249063,HINDUNILVR
2017-05-22T09:15:00+0530,1011.9,1017.75,1009.0,1010.9,283449,HINDUNILVR
2017-05-22T10:15:00+0530,1010.9,1028.15,1010.8,1024.7,655976,HINDUNILVR
2017-05-22T11:15:00+0530,1024.7,1026.55,1020.7,1021.35,219613,HINDUNILVR
2017-05-22T12:15:00+0530,1021.35,1023.55,1015.5,1021.1,204559,HINDUNILVR
2017-05-22T13:15:00+0530,1021.1,1025.0,1019.05,1022.0,152223,HINDUNILVR
2017-05-22T14:15:00+0530,1022.0,1022.0,1016.05,1017.6,183550,HINDUNILVR
2017-05-22T15:15:00+0530,1017.7,1020.5,1015.8,1020.5,87455,HINDUNILVR
2017-05-23T09:15:00+0530,1018.55,1031.7,1018.55,1028.55,477622,HINDUNILVR
2017-05-23T10:15:00+0530,1028.55,1028.9,1024.95,1028.45,688567,HINDUNILVR
2017-05-23T11:15:00+0530,1028.45,1029.5,1026.8,1027.45,204744,HINDUNILVR
2017-05-23T12:15:00+0530,1027.45,1032.0,1027.05,1030.45,273360,HINDUNILVR
2017-05-23T13:15:00+0530,1030.45,1031.85,1025.1,1025.9,457919,HINDUNILVR
2017-05-23T14:15:00+0530,1025.95,1027.8,1025.25,1025.6,344796,HINDUNILVR
2017-05-23T15:15:00+0530,1025.6,1025.6,1019.25,1023.5,191399,HINDUNILVR
2017-05-24T09:15:00+0530,1025.95,1030.15,1023.5,1028.0,196617,HINDUNILVR
2017-05-24T10:15:00+0530,1028.0,1029.75,1025.45,1028.15,152416,HINDUNILVR
2017-05-24T11:15:00+0530,1028.15,1034.6,1025.0,1033.3,815240,HINDUNILVR
2017-05-24T12:15:00+0530,1033.9,1035.4,1029.35,1030.7,146238,HINDUNILVR
2017-05-24T13:15:00+0530,1030.8,1038.0,1030.2,1036.4,287978,HINDUNILVR
2017-05-24T14:15:00+0530,1036.4,1039.8,1035.1,1037.7,270332,HINDUNILVR
2017-05-24T15:15:00+0530,1037.85,1040.0,1037.2,1038.05,122409,HINDUNILVR
2017-05-25T09:15:00+0530,1037.95,1046.75,1030.35,1043.75,332535,HINDUNILVR
2017-05-25T10:15:00+0530,1043.75,1050.0,1043.75,1048.55,181579,HINDUNILVR
2017-05-25T11:15:00+0530,1048.55,1049.75,1043.55,1044.7,128559,HINDUNILVR
2017-05-25T12:15:00+0530,1044.7,1044.95,1038.0,1038.8,193456,HINDUNILVR
2017-05-25T13:15:00+0530,1038.8,1042.5,1037.6,1039.35,320031,HINDUNILVR
2017-05-25T14:15:00+0530,1039.35,1046.05,1038.4,1044.55,573097,HINDUNILVR
2017-05-25T15:15:00+0530,1044.55,1046.1,1042.65,1045.0,187558,HINDUNILVR
2017-05-26T09:15:00+0530,1042.4,1043.0,1034.15,1037.15,82800,HINDUNILVR
2017-05-26T10:15:00+0530,1037.1,1038.2,1032.6,1034.9,61637,HINDUNILVR
2017-05-26T11:15:00+0530,1034.9,1040.0,1032.4,1040.0,92106,HINDUNILVR
2017-05-26T12:15:00+0530,1040.0,1046.95,1036.55,1044.3,192934,HINDUNILVR
2017-05-26T13:15:00+0530,1044.3,1046.95,1039.3,1045.2,93256,HINDUNILVR
2017-05-26T14:15:00+0530,1045.2,1046.0,1039.2,1042.25,136361,HINDUNILVR
2017-05-26T15:15:00+0530,1042.2,1043.75,1039.45,1041.0,55993,HINDUNILVR
2017-05-29T09:15:00+0530,1041.0,1063.8,1039.95,1056.3,284880,HINDUNILVR
2017-05-29T10:15:00+0530,1056.3,1062.0,1056.05,1060.75,147091,HINDUNILVR
2017-05-29T11:15:00+0530,1060.7,1069.9,1060.5,1068.0,177582,HINDUNILVR
2017-05-29T12:15:00+0530,1068.0,1074.0,1067.5,1067.8,186329,HINDUNILVR
2017-05-29T13:15:00+0530,1067.8,1070.75,1064.85,1067.65,445235,HINDUNILVR
2017-05-29T14:15:00+0530,1067.65,1071.2,1066.6,1070.75,397154,HINDUNILVR
2017-05-29T15:15:00+0530,1070.45,1076.95,1070.1,1073.0,131647,HINDUNILVR
2017-05-30T09:15:00+0530,1069.9,1074.95,1060.1,1061.0,79877,HINDUNILVR
2017-05-30T10:15:00+0530,1061.0,1062.0,1058.1,1060.7,95593,HINDUNILVR
2017-05-30T11:15:00+0530,1060.7,1063.45,1053.3,1056.65,151073,HINDUNILVR
2017-05-30T12:15:00+0530,1056.65,1057.3,1053.7,1056.7,89851,HINDUNILVR
