Date,Open,High,Low,Close,Adj Close,Volume
2015-08-24,94.870003,108.800003,92.000000,103.120003,99.211334,162206300
2015-08-25,111.110001,111.110001,103.500000,103.739998,99.807816,103601600
2015-08-26,107.089996,109.889999,105.050003,109.690002,105.532295,96774600
2015-08-27,112.230003,113.239998,110.019997,112.919998,108.639862,84616100
2015-08-28,112.169998,113.309998,111.540001,113.290001,108.995834,53164400
2015-08-31,112.029999,114.529999,112.000000,112.760002,108.485931,56229300
2015-09-01,110.150002,111.879997,107.360001,107.720001,103.636963,76845900
2015-09-02,110.230003,112.339996,109.129997,112.339996,108.081833,61888800
2015-09-03,112.489998,112.779999,110.040001,110.370003,106.186516,53233900
2015-09-04,108.970001,110.449997,108.510002,109.269997,105.128212,49996300
2015-09-08,111.750000,112.559998,110.320000,112.309998,108.052979,54843600
2015-09-09,113.760002,114.019997,109.769997,110.150002,105.974854,85010800
2015-09-10,110.269997,113.279999,109.900002,112.570000,108.303116,62892800
2015-09-11,111.790001,114.209999,111.760002,114.209999,109.880959,49915500
2015-09-14,116.580002,116.889999,114.860001,115.309998,110.939262,58363400
2015-09-15,115.930000,116.529999,114.419998,116.279999,111.872498,43341200
2015-09-16,116.250000,116.540001,115.440002,116.410004,111.997581,37173500
2015-09-17,115.660004,116.489998,113.720001,113.919998,109.601952,64112600
2015-09-18,112.209999,114.300003,111.870003,113.449997,109.149773,74285300
2015-09-21,113.669998,115.370003,113.660004,115.209999,110.843056,50222000
2015-09-22,113.379997,114.180000,112.519997,113.400002,109.101662,50346200
2015-09-23,113.629997,114.720001,113.300003,114.320000,109.986801,35756700
2015-09-24,113.250000,115.500000,112.370003,115.000000,110.641022,50219500
2015-09-25,116.440002,116.690002,114.019997,114.709999,110.362015,56151900
2015-09-28,113.849998,114.570000,112.440002,112.440002,108.178062,52109000
2015-09-29,112.830002,113.510002,107.860001,109.059998,104.926178,73365400
2015-09-30,110.169998,111.540001,108.730003,110.300003,106.119179,66473000
2015-10-01,109.070000,109.620003,107.309998,109.580002,105.426460,63929100
2015-10-02,108.010002,111.010002,107.550003,110.379997,106.196136,58019800
2015-10-05,109.879997,111.370003,109.070000,110.779999,106.580978,52064700
2015-10-06,110.629997,111.739998,109.769997,111.309998,107.090881,48196800
2015-10-07,111.739998,111.769997,109.410004,110.779999,106.580978,46765600
2015-10-08,110.190002,110.190002,108.209999,109.500000,105.349495,61979600
2015-10-09,110.000000,112.279999,109.489998,112.120003,107.870178,52766100
2015-10-12,112.730003,112.750000,111.440002,111.599998,107.369888,30467200
2015-10-13,110.820000,112.449997,110.680000,111.790001,107.552696,33049300
2015-10-14,111.290001,111.519997,109.559998,110.209999,106.032578,44462400
2015-10-15,110.930000,112.099998,110.489998,111.860001,107.620049,37673500
2015-10-16,111.779999,112.000000,110.529999,111.040001,106.831116,39232600
2015-10-19,110.800003,111.750000,110.110001,111.730003,107.494957,29759200
2015-10-20,111.339996,114.169998,110.820000,113.769997,109.457634,48778800
2015-10-21,114.000000,115.580002,113.699997,113.760002,109.448021,41795200
2015-10-22,114.330002,115.500000,114.099998,115.500000,111.122078,41654100
2015-10-23,116.699997,119.230003,116.330002,119.080002,114.566376,59366900
2015-10-26,118.080002,118.129997,114.919998,115.279999,110.910416,66333800
2015-10-27,115.400002,116.540001,113.989998,114.550003,110.208076,69884400
2015-10-28,116.930000,119.300003,116.059998,119.269997,114.749161,85551400
2015-10-29,118.699997,120.690002,118.269997,120.529999,115.961411,51227300
2015-10-30,120.989998,121.220001,119.449997,119.500000,114.970459,49365300
2015-11-02,120.800003,121.360001,119.610001,121.180000,116.586769,32203300
2015-11-03,120.790001,123.489998,120.699997,122.570000,117.924095,45519000
2015-11-04,123.129997,123.820000,121.620003,122.000000,117.375694,44886100
2015-11-05,121.849998,122.690002,120.180000,120.919998,116.834602,39552700
2015-11-06,121.110001,121.809998,120.620003,121.059998,116.969872,33042300
2015-11-09,120.959999,121.809998,120.050003,120.570000,116.496429,33871400
2015-11-10,116.900002,118.070000,116.059998,116.769997,112.824814,59127900
2015-11-11,116.370003,117.419998,115.209999,116.110001,112.187119,45218000
2015-11-12,116.260002,116.820000,115.650002,115.720001,111.810295,32525600
2015-11-13,115.199997,115.570000,112.269997,112.339996,108.544479,45812400
2015-11-16,111.379997,114.239998,111.000000,114.180000,110.322327,38106700
2015-11-17,114.919998,115.050003,113.320000,113.690002,109.848885,27616900
2015-11-18,115.760002,117.489998,115.500000,117.290001,113.327248,46674700
2015-11-19,117.639999,119.750000,116.760002,118.779999,114.766914,43295800
2015-11-20,119.199997,119.919998,118.849998,119.300003,115.269348,34287100
2015-11-23,119.269997,119.730003,117.339996,117.750000,113.771706,32482500
2015-11-24,117.330002,119.349998,117.120003,118.879997,114.863525,42803200
2015-11-25,119.209999,119.230003,117.919998,118.029999,114.042252,21388300
2015-11-27,118.290001,118.410004,117.599998,117.809998,113.829681,13046400
2015-11-30,117.989998,119.410004,117.750000,118.300003,114.303123,39180300
2015-12-01,118.750000,118.809998,116.860001,117.339996,113.375557,34852400
2015-12-02,117.339996,118.110001,116.080002,116.279999,112.351372,33386600
2015-12-03,116.550003,116.790001,114.220001,115.199997,111.307861,41569500
2015-12-04,115.290001,119.250000,115.110001,119.029999,115.008461,57777000
2015-12-07,118.980003,119.860001,117.809998,118.279999,114.283798,32084200
2015-12-08,117.519997,118.599998,116.860001,118.230003,114.235489,34309500
2015-12-09,117.639999,117.690002,115.080002,115.620003,111.713676,46361400
2015-12-10,116.040001,116.940002,115.510002,116.169998,112.245087,29104200
2015-12-11,115.190002,115.389999,112.849998,113.180000,109.356125,46886200
2015-12-14,112.180000,112.680000,109.790001,112.480003,108.679771,64318700
2015-12-15,111.940002,112.800003,110.349998,110.489998,106.756989,53323100
2015-12-16,111.070000,111.989998,108.800003,111.339996,107.578270,56238500
2015-12-17,112.019997,112.250000,108.980003,108.980003,105.298019,44772800
2015-12-18,108.910004,109.519997,105.809998,106.029999,102.447670,96453300
2015-12-21,107.279999,107.370003,105.570000,107.330002,103.703766,47590600
2015-12-22,107.400002,107.720001,106.449997,107.230003,103.607155,32789400
2015-12-23,107.269997,108.849998,107.199997,108.610001,104.940506,32657400
2015-12-24,109.000000,109.000000,107.949997,108.029999,104.380112,13570400
2015-12-28,107.589996,107.690002,106.180000,106.820000,103.210999,26704200
2015-12-29,106.959999,109.430000,106.860001,108.739998,105.066116,30931200
2015-12-30,108.580002,108.699997,107.180000,107.320000,103.694107,25213800
2015-12-31,107.010002,107.029999,104.820000,105.260002,101.703697,40635300
2016-01-04,102.610001,105.370003,102.000000,105.349998,101.790649,67649400
2016-01-05,105.750000,105.849998,102.410004,102.709999,99.239845,55791000
2016-01-06,100.559998,102.370003,99.870003,100.699997,97.297760,68457400
