date,close,date,high,low,open,volume
2016-06-01T09:15:00+0530,198.25,2016-06-01T09:15:00+0530,208.3,196.6,205.95,41868032
2016-06-02T09:15:00+0530,200.55,2016-06-02T09:15:00+0530,202.3,195.55,197.85,23499884
2016-06-03T09:15:00+0530,196.6,2016-06-03T09:15:00+0530,202.15,195.4,201.0,24568749
2016-06-06T09:15:00+0530,198.9,2016-06-06T09:15:00+0530,202.6,197.1,197.45,23623536
2016-06-07T09:15:00+0530,210.15,2016-06-07T09:15:00+0530,211.15,200.15,200.45,66063192
2016-06-08T09:15:00+0530,210.7,2016-06-08T09:15:00+0530,211.9,207.55,210.15,35163093
2016-06-09T09:15:00+0530,209.95,2016-06-09T09:15:00+0530,212.8,208.3,210.0,27858182
2016-06-10T09:15:00+0530,205.95,2016-06-10T09:15:00+0530,211.5,205.3,209.35,25598224
2016-06-13T09:15:00+0530,201.8,2016-06-13T09:15:00+0530,202.6,200.2,201.5,21192525
2016-06-14T09:15:00+0530,207.7,2016-06-14T09:15:00+0530,208.6,203.8,204.35,23918910
2016-06-15T09:15:00+0530,216.05,2016-06-15T09:15:00+0530,217.55,208.55,209.75,48362742
2016-06-16T09:15:00+0530,216.0,2016-06-16T09:15:00+0530,218.5,213.05,216.0,48122379
2016-06-17T09:15:00+0530,213.45,2016-06-17T09:15:00+0530,217.5,211.6,216.75,26486677
2016-06-20T09:15:00+0530,215.9,2016-06-20T09:15:00+0530,216.7,207.9,208.0,32633757
2016-06-21T09:15:00+0530,214.0,2016-06-21T09:15:00+0530,217.5,213.15,215.0,18960306
2016-06-22T09:15:00+0530,212.9,2016-06-22T09:15:00+0530,215.25,211.45,214.0,16395548
2016-06-23T09:15:00+0530,217.55,2016-06-23T09:15:00+0530,218.0,212.75,213.0,20666649
2016-06-24T09:15:00+0530,211.25,2016-06-24T09:15:00+0530,212.35,202.5,205.9,47224652
2016-06-27T09:15:00+0530,217.15,2016-06-27T09:15:00+0530,218.85,210.55,210.8,29021651
2016-06-28T09:15:00+0530,215.9,2016-06-28T09:15:00+0530,218.65,215.4,216.75,21784062
2016-06-29T09:15:00+0530,217.2,2016-06-29T09:15:00+0530,218.8,216.1,217.9,18019568
2016-06-30T09:15:00+0530,218.8,2016-06-30T09:15:00+0530,221.9,217.9,220.0,30600995
2016-07-01T09:15:00+0530,219.6,2016-07-01T09:15:00+0530,221.0,218.9,220.8,15346865
2016-07-04T09:15:00+0530,223.0,2016-07-04T09:15:00+0530,224.35,222.0,222.35,16534518
2016-07-05T09:15:00+0530,223.5,2016-07-05T09:15:00+0530,225.15,221.55,223.25,15357018
2016-07-07T09:15:00+0530,220.05,2016-07-07T09:15:00+0530,224.6,219.35,223.9,12917872
2016-07-08T09:15:00+0530,218.3,2016-07-08T09:15:00+0530,220.85,216.5,220.15,16017389
2016-07-11T09:15:00+0530,224.7,2016-07-11T09:15:00+0530,225.45,222.0,223.6,15831791
2016-07-12T09:15:00+0530,226.7,2016-07-12T09:15:00+0530,227.2,224.15,225.0,19374179
2016-07-13T09:15:00+0530,227.7,2016-07-13T09:15:00+0530,228.5,223.95,227.0,18377333
2016-07-14T09:15:00+0530,232.0,2016-07-14T09:15:00+0530,232.85,226.0,227.0,21208021
2016-07-15T09:15:00+0530,231.5,2016-07-15T09:15:00+0530,234.4,230.8,232.9,15068302
2016-07-18T09:15:00+0530,228.75,2016-07-18T09:15:00+0530,233.85,228.2,232.4,11816985
2016-07-19T09:15:00+0530,229.6,2016-07-19T09:15:00+0530,232.15,227.0,230.0,19767339
2016-07-20T09:15:00+0530,231.15,2016-07-20T09:15:00+0530,232.75,229.2,230.65,18051608
2016-07-21T09:15:00+0530,225.65,2016-07-21T09:15:00+0530,232.1,224.4,231.65,13306837
2016-07-22T09:15:00+0530,223.5,2016-07-22T09:15:00+0530,225.9,222.1,225.4,12341622
2016-07-25T09:15:00+0530,229.9,2016-07-25T09:15:00+0530,231.0,222.7,223.0,18427070
2016-07-26T09:15:00+0530,226.7,2016-07-26T09:15:00+0530,232.2,225.9,230.0,14162638
2016-07-27T09:15:00+0530,229.25,2016-07-27T09:15:00+0530,231.0,226.8,227.75,17626617
2016-07-28T09:15:00+0530,231.0,2016-07-28T09:15:00+0530,235.15,229.3,230.15,26838284
2016-07-29T09:15:00+0530,229.4,2016-07-29T09:15:00+0530,232.7,228.4,230.0,15577230
2016-08-01T09:15:00+0530,227.3,2016-08-01T09:15:00+0530,232.65,225.3,230.8,16071228
